unit,geo,year,unemployment_rate
Percentage of total population,Slovenia,2021,3.1
Percentage of total population,Slovenia,2022,2.6
Percentage of total population,Slovenia,2023,2.4
Percentage of total population,Slovenia,2024,2.4
Percentage of total population,Slovenia,2025,2.5
Percentage of total population,Slovakia,2014,8.5
Percentage of total population,Slovakia,2015,7.5
Percentage of total population,Slovakia,2016,6.4
Percentage of total population,Slovakia,2017,5.4
Percentage of total population,Slovakia,2018,4.3
Percentage of total population,Slovakia,2019,3.8
Percentage of total population,Slovakia,2020,4.4
Percentage of total population,Slovakia,2021,4.5
Percentage of total population,Slovakia,2022,4.1
Percentage of total population,Slovakia,2023,3.9
Percentage of total population,Slovakia,2024,3.6
Percentage of total population,Slovakia,2025,3.6
Percentage of total population,Finland,2014,5.7
Percentage of total population,Finland,2015,6.1
Percentage of total population,Finland,2016,5.8
Percentage of total population,Finland,2017,5.7
Percentage of total population,Finland,2018,4.9
Percentage of total population,Finland,2019,4.5
Percentage of total population,Finland,2020,5.1
Percentage of total population,Finland,2021,5.2
Percentage of total population,Finland,2022,4.6
Percentage of total population,Finland,2023,5.0
Percentage of total population,Finland,2024,5.8
Percentage of total population,Finland,2025,6.7
Percentage of total population,Sweden,2014,5.8
Percentage of total population,Sweden,2015,5.4
Percentage of total population,Sweden,2016,5.1
Percentage of total population,Sweden,2017,4.9
Percentage of total population,Sweden,2018,4.7
Percentage of total population,Sweden,2019,5.0
Percentage of total population,Sweden,2020,6.2
Percentage of total population,Sweden,2021,6.6
Percentage of total population,Sweden,2022,5.6
Percentage of total population,Sweden,2023,5.8
Percentage of total population,Sweden,2024,6.3
Percentage of total population,Sweden,2025,6.7
Percentage of total population,Iceland,2014,4.0
Percentage of total population,Iceland,2015,3.3
Percentage of total population,Iceland,2016,2.5
Percentage of total population,Iceland,2017,2.3
Percentage of total population,Iceland,2018,2.2
Percentage of total population,Iceland,2019,2.8
Percentage of total population,Iceland,2020,4.3
Percentage of total population,Iceland,2021,4.8
Percentage of total population,Iceland,2022,3.0
Percentage of total population,Iceland,2023,2.8
Percentage of total population,Iceland,2024,2.9
Percentage of total population,Iceland,2025,3.6
Percentage of total population,Norway,2014,2.7
Percentage of total population,Norway,2015,3.4
Percentage of total population,Norway,2016,3.5
Percentage of total population,Norway,2017,3.1
Percentage of total population,Norway,2018,2.8
Percentage of total population,Norway,2019,2.8
Percentage of total population,Norway,2020,3.4
Percentage of total population,Norway,2021,3.2
Percentage of total population,Norway,2022,2.4
Percentage of total population,Norway,2023,2.6
Percentage of total population,Norway,2024,2.9
Percentage of total population,Norway,2025,3.3
Percentage of total population,Switzerland,2014,3.6
Percentage of total population,Switzerland,2015,3.6
Percentage of total population,Switzerland,2016,3.7
Percentage of total population,Switzerland,2017,3.7
Percentage of total population,Switzerland,2018,3.6
Percentage of total population,Switzerland,2019,3.4
Percentage of total population,Switzerland,2020,3.7
Percentage of total population,Switzerland,2021,3.8
Percentage of total population,Switzerland,2022,3.1
Percentage of total population,Switzerland,2023,3.1
Percentage of total population,Switzerland,2024,3.3
Percentage of total population,Switzerland,2025,3.7
Percentage of total population,Montenegro,2014,10.1
Percentage of total population,Montenegro,2015,10.1
Percentage of total population,Montenegro,2016,10.3
Percentage of total population,Montenegro,2017,9.4
Percentage of total population,Montenegro,2018,9.1
Percentage of total population,Montenegro,2019,9.3
Percentage of total population,Montenegro,2020,10.2
Percentage of total population,North Macedonia,2014,16.6
Percentage of total population,North Macedonia,2015,15.3
Percentage of total population,North Macedonia,2016,13.8
Percentage of total population,North Macedonia,2017,13.1
Percentage of total population,North Macedonia,2018,12.2
Percentage of total population,North Macedonia,2019,10.2
Percentage of total population,North Macedonia,2020,9.6
Percentage of total population,North Macedonia,2021,9.0
Percentage of total population,North Macedonia,2022,8.3
Percentage of total population,North Macedonia,2023,7.4
Percentage of total population,North Macedonia,2024,7.0
Percentage of total population,North Macedonia,2025,6.6
Percentage of total population,Serbia,2014,11.5
Percentage of total population,Serbia,2015,10.5
Percentage of total population,Serbia,2016,9.4
Percentage of total population,Serbia,2017,8.4
Percentage of total population,Serbia,2018,8.0
Percentage of total population,Serbia,2019,6.5
Percentage of total population,Serbia,2020,5.5
Percentage of total population,Serbia,2021,6.6
Percentage of total population,Serbia,2022,5.7
Percentage of total population,Serbia,2023,5.8
Percentage of total population,Serbia,2024,5.4
Percentage of total population,Serbia,2025,5.4
Percentage of total population,Türkiye,2014,5.2
Percentage of total population,Türkiye,2015,5.5
Percentage of total population,Türkiye,2016,5.9
Percentage of total population,Türkiye,2017,6.0
Percentage of total population,Türkiye,2018,6.1
Percentage of total population,Türkiye,2019,7.6
Percentage of total population,Türkiye,2020,6.8
Percentage of total population,Türkiye,2021,6.4
Percentage of total population,Türkiye,2022,5.8
Percentage of total population,Türkiye,2023,5.3
Percentage of total population,Türkiye,2024,5.0
Percentage of total population,Türkiye,2025,4.7
Percentage of total population,Bosnia and Herzegovina,2021,9.0
Percentage of total population,Bosnia and Herzegovina,2022,7.9
Percentage of total population,Bosnia and Herzegovina,2023,6.8
Percentage of total population,Bosnia and Herzegovina,2024,6.7
Percentage of total population,Bosnia and Herzegovina,2025,6.6
