freq,age,unit,sex,geo,time,value
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2015,4.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2016,3.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2017,3.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2018,3.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2019,2.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2020,3.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2021,3.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2022,3.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2023,3.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2024,3.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2025,3.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2014,7.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2015,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2016,6.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2017,5.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2018,5.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2019,4.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2020,6.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2021,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2022,5.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2023,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2024,7.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2025,7.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2014,11.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2015,9.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2016,8.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2017,6.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2018,5.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2019,5.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2020,5.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2021,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2022,4.5
