rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Total,Total,Ireland,2018,0.8,Total,Age in completed years,105699.0,Total,Total,3.4,66830.0,70.9,Percentage of total population,3.9,276.51,260637.0,241.06
Total,Total,Ireland,2019,1.2,Total,Age in completed years,96321.0,Total,Total,5.2,69060.0,71.9,Percentage of total population,3.3,237.27,227898.0,373.88000000000005
Total,Total,Ireland,2020,1.3,Total,Age in completed years,81918.0,Total,Total,4.2,73020.0,71.9,Percentage of total population,3.8,273.22,277476.0,301.98
Total,Total,Greece,2014,6.0,Total,Age in completed years,59013.0,Total,Total,44.9,16140.0,82.5,Percentage of total population,15.7,1295.25,253398.0,3704.25
Total,Total,Greece,2015,6.7,Total,Age in completed years,64446.0,Total,Total,45.5,16210.0,82.7,Percentage of total population,14.8,1223.96,239908.0,3762.85
Total,Total,Greece,2016,6.3,Total,Age in completed years,116867.0,Total,Total,40.5,16270.0,82.4,Percentage of total population,14.2,1170.08,231034.0,3337.2000000000003
Total,Total,Greece,2017,6.0,Total,Age in completed years,112247.0,Total,Total,39.6,16540.0,82.2,Percentage of total population,13.0,1068.6000000000001,215020.0,3255.1200000000003
Total,Total,Greece,2018,5.9,Total,Age in completed years,119489.0,Total,Total,39.5,16920.0,82.5,Percentage of total population,11.7,965.2499999999999,197964.0,3258.75
Total,Total,Greece,2019,6.0,Total,Age in completed years,129459.0,Total,Total,36.2,17320.0,82.4,Percentage of total population,10.7,881.68,185324.0,2982.8800000000006
Total,Total,Greece,2020,5.8,Total,Age in completed years,84221.0,Total,Total,33.3,15760.0,82.4,Percentage of total population,10.0,824.0,157600.0,2743.92
Total,Total,Greece,2023,6.9,Total,Age in completed years,116591.0,Total,Total,28.5,18720.0,80.0,Percentage of total population,6.7,536.0,125424.0,2280.0
Total,Total,Spain,2014,1.7,Total,Age in completed years,305454.0,Total,Total,10.9,22500.0,92.5,Percentage of total population,16.0,1480.0,360000.0,1008.25
Total,Total,Spain,2015,1.5,Total,Age in completed years,342114.0,Total,Total,10.3,23440.0,92.5,Percentage of total population,14.5,1341.25,339880.0,952.7500000000001
Total,Total,Spain,2016,1.7,Total,Age in completed years,414746.0,Total,Total,10.2,24100.0,92.5,Percentage of total population,12.8,1184.0,308480.0,943.4999999999999
Total,Total,Spain,2017,1.0,Total,Age in completed years,532132.0,Total,Total,9.8,24750.0,92.7,Percentage of total population,11.2,1038.24,277200.0,908.4600000000002
Total,Total,Spain,2018,1.5,Total,Age in completed years,643684.0,Total,Total,8.9,25230.0,93.1,Percentage of total population,9.9,921.6899999999999,249777.0,828.59
Total,Total,Spain,2019,1.7,Total,Age in completed years,750480.0,Total,Total,8.5,25520.0,93.8,Percentage of total population,9.1,853.5799999999999,232232.0,797.3
Total,Total,Spain,2020,3.4,Total,Age in completed years,467918.0,Total,Total,8.2,22610.0,93.8,Percentage of total population,9.9,928.62,223839.0,769.1599999999999
Total,Total,Spain,2023,2.9,Total,Age in completed years,1250991.0,Total,Total,8.2,25740.0,96.2,Percentage of total population,8.0,769.6,205920.0,788.8399999999999
Total,Total,France,2014,2.3,Total,Age in completed years,340383.0,Total,Total,5.1,32990.0,104.6,Percentage of total population,6.5,679.9,214435.0,533.4599999999999
Total,Total,France,2015,2.3,Total,Age in completed years,364221.0,Total,Total,5.7,33200.0,105.1,Percentage of total population,6.5,683.15,215800.0,599.0699999999999
Total,Total,France,2016,2.7,Total,Age in completed years,377709.0,Total,Total,5.2,33360.0,105.3,Percentage of total population,6.3,663.39,210168.0,547.5600000000001
Total,Total,France,2017,2.1,Total,Age in completed years,369621.0,Total,Total,5.0,33920.0,105.6,Percentage of total population,5.9,623.04,200128.0,528.0
Total,Total,France,2018,2.7,Total,Age in completed years,387160.0,Total,Total,4.7,34320.0,105.9,Percentage of total population,5.7,603.63,195624.0,497.73
Total,Total,France,2019,2.3,Total,Age in completed years,385596.0,Total,Total,5.5,34880.0,106.1,Percentage of total population,5.3,562.3299999999999,184864.0,583.55
Total,Total,France,2020,3.8,Total,Age in completed years,331137.0,Total,Total,5.6,32130.0,106.3,Percentage of total population,5.0,531.5,160650.0,595.28
Total,Total,France,2023,4.6,Total,Age in completed years,467548.0,Total,Total,6.5,35410.0,107.9,Percentage of total population,4.7,507.13000000000005,166427.0,701.35
Total,Total,Croatia,2014,7.8,Total,Age in completed years,10638.0,Total,Total,7.5,10600.0,74.9,Percentage of total population,10.0,749.0,106000.0,561.75
Total,Total,Croatia,2015,7.3,Total,Age in completed years,11706.0,Total,Total,7.2,10960.0,74.4,Percentage of total population,9.5,706.8000000000001,104120.0,535.6800000000001
Total,Total,Croatia,2016,7.1,Total,Age in completed years,13985.0,Total,Total,6.4,11480.0,74.6,Percentage of total population,7.4,552.04,84952.0,477.44
Total,Total,Croatia,2017,6.5,Total,Age in completed years,15553.0,Total,Total,5.8,12040.0,73.9,Percentage of total population,6.4,472.96000000000004,77056.0,428.62
Total,Total,Croatia,2018,6.2,Total,Age in completed years,26029.0,Total,Total,5.1,12550.0,73.2,Percentage of total population,4.7,344.04,58985.0,373.32
Total,Total,Croatia,2019,5.9,Total,Age in completed years,37726.0,Total,Total,4.7,13070.0,72.8,Percentage of total population,3.7,269.36,48359.0,342.16
Total,Total,Croatia,2020,5.1,Total,Age in completed years,33414.0,Total,Total,4.2,12100.0,72.8,Percentage of total population,4.2,305.76,50820.0,305.76
Total,Total,Croatia,2023,2.8,Total,Age in completed years,69396.0,Total,Total,4.0,15370.0,69.0,Percentage of total population,3.6,248.4,55332.0,276.0
Total,Total,Italy,2014,9.5,Total,Age in completed years,277631.0,Total,Total,8.5,27330.0,206.0,Percentage of total population,7.1,1462.6,194043.0,1751.0
Total,Total,Italy,2015,9.6,Total,Age in completed years,280078.0,Total,Total,8.6,27620.0,205.8,Percentage of total population,6.7,1378.8600000000001,185054.0,1769.88
Total,Total,Italy,2016,7.6,Total,Age in completed years,300823.0,Total,Total,9.6,28010.0,205.4,Percentage of total population,6.6,1355.6399999999999,184866.0,1971.84
Total,Total,Italy,2017,5.5,Total,Age in completed years,343440.0,Total,Total,8.2,28510.0,203.3,Percentage of total population,6.4,1301.1200000000001,182464.0,1667.06
Total,Total,Italy,2018,5.0,Total,Age in completed years,332324.0,Total,Total,8.2,28810.0,202.9,Percentage of total population,6.1,1237.69,175741.0,1663.78
Total,Total,Italy,2019,5.0,Total,Age in completed years,332778.0,Total,Total,8.7,29000.0,201.5,Percentage of total population,5.7,1148.55,165300.0,1753.05
Total,Total,Italy,2020,6.1,Total,Age in completed years,247526.0,Total,Total,7.2,26560.0,200.6,Percentage of total population,5.2,1043.1200000000001,138112.0,1444.32
Total,Total,Italy,2023,5.8,Total,Age in completed years,439658.0,Total,Total,5.7,30840.0,198.1,Percentage of total population,4.4,871.6400000000001,135696.0,1129.17
Total,Total,Cyprus,2014,1.5,Total,Age in completed years,13003.0,Total,Total,4.0,20170.0,92.5,Percentage of total population,11.0,1017.5,221870.0,370.0
Total,Total,Cyprus,2015,0.5,Total,Age in completed years,15364.0,Total,Total,3.9,20810.0,92.0,Percentage of total population,10.0,920.0,208100.0,358.8
Total,Total,Cyprus,2016,1.3,Total,Age in completed years,18590.0,Total,Total,3.1,22060.0,92.4,Percentage of total population,8.6,794.64,189716.0,286.44
