rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Below 60%,Total,Luxembourg,2016,7.0,Total,Age in completed years,22888.0,Total,Total,29.7,97300.0,225.1,Percentage of total population,4.0,900.4,389200.0,6685.469999999999
Below 60%,Total,Luxembourg,2017,5.8,Total,Age in completed years,24379.0,Total,Total,31.8,96460.0,230.6,Percentage of total population,3.5,807.1,337610.0,7333.08
Below 60%,Total,Luxembourg,2018,5.3,Total,Age in completed years,24644.0,Total,Total,40.5,96110.0,235.1,Percentage of total population,3.6,846.36,345996.0,9521.55
Below 60%,Total,Luxembourg,2019,6.9,Total,Age in completed years,26668.0,Total,Total,37.7,96730.0,239.8,Percentage of total population,3.7,887.2600000000001,357901.0,9040.460000000001
Below 60%,Total,Luxembourg,2020,4.3,Total,Age in completed years,22490.0,Total,Total,34.3,94770.0,239.8,Percentage of total population,4.4,1055.1200000000001,416988.00000000006,8225.14
Below 60%,Total,Luxembourg,2023,5.4,Total,Age in completed years,26964.0,Total,Total,41.2,94830.0,257.7,Percentage of total population,3.5,901.9499999999999,331905.0,10617.24
Below 60%,Total,Hungary,2014,42.1,Total,Age in completed years,54581.0,Total,Total,38.4,11070.0,108.1,Percentage of total population,4.5,486.45,49815.0,4151.04
Below 60%,Total,Hungary,2015,35.0,Total,Age in completed years,58344.0,Total,Total,31.5,11520.0,107.9,Percentage of total population,4.1,442.39,47231.99999999999,3398.8500000000004
Below 60%,Total,Hungary,2016,32.7,Total,Age in completed years,53618.0,Total,Total,32.9,11850.0,107.6,Percentage of total population,3.1,333.56,36735.0,3540.0399999999995
Below 60%,Total,Hungary,2017,25.0,Total,Age in completed years,68070.0,Total,Total,49.4,12380.0,107.3,Percentage of total population,2.6,278.98,32188.0,5300.62
Below 60%,Total,Hungary,2018,14.5,Total,Age in completed years,82937.0,Total,Total,46.4,13100.0,107.1,Percentage of total population,2.3,246.32999999999996,30129.999999999996,4969.44
Below 60%,Total,Hungary,2019,18.8,Total,Age in completed years,88581.0,Total,Total,17.8,13780.0,107.1,Percentage of total population,2.1,224.91,28938.0,1906.3799999999999
Below 60%,Total,Hungary,2020,23.3,Total,Age in completed years,75470.0,Total,Total,9.8,13210.0,107.1,Percentage of total population,2.7,289.17,35667.0,1049.58
Below 60%,Total,Hungary,2023,16.1,Total,Age in completed years,96192.0,Total,Total,28.3,14760.0,105.1,Percentage of total population,2.8,294.28,41328.0,2974.33
Below 60%,Total,Malta,2014,2.8,Total,Age in completed years,15928.0,Total,Total,5.8,21490.0,1375.2,Percentage of total population,3.4,4675.68,73066.0,7976.16
Below 60%,Total,Malta,2015,3.1,Total,Age in completed years,18202.0,Total,Total,4.8,23000.0,1408.4,Percentage of total population,3.2,4506.88,73600.0,6760.320000000001
Below 60%,Total,Malta,2016,4.3,Total,Age in completed years,18116.0,Total,Total,5.7,23400.0,1450.2,Percentage of total population,2.9,4205.58,67860.0,8266.140000000001
Below 60%,Total,Malta,2017,5.6,Total,Age in completed years,22750.0,Total,Total,5.6,25710.0,1495.2,Percentage of total population,2.5,3738.0,64275.0,8373.119999999999
Below 60%,Total,Malta,2018,4.3,Total,Age in completed years,27394.0,Total,Total,5.6,26600.0,1548.3,Percentage of total population,2.5,3870.75,66500.0,8670.48
Below 60%,Total,Malta,2019,3.5,Total,Age in completed years,29304.0,Total,Total,9.2,26570.0,1595.1,Percentage of total population,2.7,4306.77,71739.0,14674.919999999998
Below 60%,Total,Malta,2020,1.4,Total,Age in completed years,14751.0,Total,Total,9.8,25120.0,1610.4,Percentage of total population,3.2,5153.280000000001,80384.0,15781.920000000002
Below 60%,Total,Malta,2023,0.3,Total,Age in completed years,42239.0,Total,Total,24.8,30090.0,1766.0,Percentage of total population,2.5,4415.0,75225.0,43796.8
Below 60%,Total,Netherlands,2014,2.3,Total,Age in completed years,145323.0,Total,Total,51.1,40600.0,500.9,Percentage of total population,6.1,3055.49,247660.0,25595.989999999998
Below 60%,Total,Netherlands,2015,4.9,Total,Age in completed years,166872.0,Total,Total,51.4,41270.0,503.1,Percentage of total population,5.7,2867.67,235239.0,25859.34
Below 60%,Total,Netherlands,2016,4.3,Total,Age in completed years,189232.0,Total,Total,42.9,42050.0,498.1,Percentage of total population,5.1,2540.31,214454.99999999997,21368.49
Below 60%,Total,Netherlands,2017,4.3,Total,Age in completed years,189646.0,Total,Total,40.9,42970.0,501.1,Percentage of total population,4.2,2104.6200000000003,180474.0,20494.99
Below 60%,Total,Netherlands,2018,3.5,Total,Age in completed years,194306.0,Total,Total,40.6,43680.0,504.0,Percentage of total population,3.6,1814.4,157248.0,20462.4
Below 60%,Total,Netherlands,2019,4.4,Total,Age in completed years,215756.0,Total,Total,39.6,44390.0,507.3,Percentage of total population,3.3,1674.09,146487.0,20089.08
Below 60%,Total,Netherlands,2020,5.6,Total,Age in completed years,182244.0,Total,Total,33.3,42440.0,507.3,Percentage of total population,3.6,1826.28,152784.0,16893.09
Below 60%,Total,Netherlands,2023,5.4,Total,Age in completed years,274597.0,Total,Total,34.5,45930.0,526.0,Percentage of total population,2.7,1420.2,124011.00000000001,18147.0
Below 60%,Total,Austria,2014,9.3,Total,Age in completed years,116262.0,Total,Total,36.7,39520.0,103.7,Percentage of total population,4.0,414.8,158080.0,3805.7900000000004
Below 60%,Total,Austria,2015,11.4,Total,Age in completed years,166323.0,Total,Total,34.8,39640.0,104.9,Percentage of total population,4.1,430.09,162524.0,3650.52
Below 60%,Total,Austria,2016,10.3,Total,Age in completed years,129509.0,Total,Total,38.8,39970.0,106.0,Percentage of total population,4.4,466.40000000000003,175868.0,4112.799999999999
Below 60%,Total,Austria,2017,10.9,Total,Age in completed years,111801.0,Total,Total,40.3,40620.0,106.8,Percentage of total population,4.0,427.2,162480.0,4304.04
Below 60%,Total,Austria,2018,10.6,Total,Age in completed years,105633.0,Total,Total,36.5,41430.0,107.1,Percentage of total population,3.6,385.56,149148.0,3909.1499999999996
Below 60%,Total,Austria,2019,6.0,Total,Age in completed years,109167.0,Total,Total,40.8,41970.0,107.6,Percentage of total population,3.3,355.08,138501.0,4390.079999999999
Below 60%,Total,Austria,2020,6.3,Total,Age in completed years,103565.0,Total,Total,37.1,39140.0,107.6,Percentage of total population,4.1,441.1599999999999,160474.0,3991.96
Below 60%,Total,Austria,2023,14.2,Total,Age in completed years,147591.0,Total,Total,32.9,41910.0,110.7,Percentage of total population,3.5,387.45,146685.0,3642.0299999999997
Below 60%,Total,Poland,2014,19.9,Total,Age in completed years,222275.0,Total,Total,32.0,10900.0,123.7,Percentage of total population,5.5,680.35,59950.0,3958.4
Below 60%,Total,Poland,2015,19.8,Total,Age in completed years,218147.0,Total,Total,30.7,11390.0,123.6,Percentage of total population,4.6,568.56,52393.99999999999,3794.5199999999995
Below 60%,Total,Poland,2016,19.7,Total,Age in completed years,208302.0,Total,Total,29.6,11740.0,123.6,Percentage of total population,3.8,469.67999999999995,44612.0,3658.56
Below 60%,Total,Poland,2017,16.0,Total,Age in completed years,209353.0,Total,Total,30.4,12340.0,123.6,Percentage of total population,3.0,370.79999999999995,37020.0,3757.4399999999996
Below 60%,Total,Poland,2018,15.8,Total,Age in completed years,214083.0,Total,Total,28.1,13120.0,123.6,Percentage of total population,2.4,296.64,31488.0,3473.16
Below 60%,Total,Poland,2019,13.0,Total,Age in completed years,226649.0,Total,Total,26.3,13720.0,123.6,Percentage of total population,2.0,247.2,27440.0,3250.68
Below 60%,Total,Poland,2023,8.0,Total,Age in completed years,303275.0,Total,Total,29.1,15290.0,119.4,Percentage of total population,1.8,214.92000000000002,27522.0,3474.5400000000004
Below 60%,Total,Portugal,2014,13.1,Total,Age in completed years,23077.0,Total,Total,33.7,16950.0,112.8,Percentage of total population,9.2,1037.76,155940.0,3801.36
Below 60%,Total,Portugal,2015,11.2,Total,Age in completed years,36849.0,Total,Total,33.5,17280.0,112.3,Percentage of total population,8.2,920.8599999999999,141696.0,3762.0499999999997
Below 60%,Total,Portugal,2016,11.3,Total,Age in completed years,37644.0,Total,Total,29.1,17670.0,113.5,Percentage of total population,7.3,828.55,128991.0,3302.8500000000004
Below 60%,Total,Portugal,2017,9.3,Total,Age in completed years,46649.0,Total,Total,26.0,18280.0,113.2,Percentage of total population,5.9,667.8800000000001,107852.0,2943.2000000000003
Below 60%,Total,Portugal,2018,8.7,Total,Age in completed years,55357.0,Total,Total,22.3,18830.0,113.0,Percentage of total population,4.7,531.1,88501.0,2519.9
Below 60%,Total,Portugal,2019,10.4,Total,Age in completed years,95382.0,Total,Total,22.8,19310.0,113.0,Percentage of total population,4.3,485.9,83033.0,2576.4
Below 60%,Total,Portugal,2020,7.2,Total,Age in completed years,83654.0,Total,Total,17.3,17680.0,113.0,Percentage of total population,4.5,508.5,79560.0,1954.9
Below 60%,Total,Portugal,2023,14.8,Total,Age in completed years,189367.0,Total,Total,18.8,20200.0,116.3,Percentage of total population,4.4,511.72,88880.0,2186.44
Below 60%,Total,Romania,2014,45.2,Total,Age in completed years,136035.0,Total,Total,40.1,7800.0,86.6,Percentage of total population,4.5,389.7,35100.0,3472.66
Below 60%,Total,Romania,2015,44.7,Total,Age in completed years,132795.0,Total,Total,42.6,8090.0,86.1,Percentage of total population,4.5,387.45,36405.0,3667.8599999999997
Below 60%,Total,Romania,2016,42.7,Total,Age in completed years,137455.0,Total,Total,38.8,8370.0,85.6,Percentage of total population,3.8,325.28,31806.0,3321.2799999999997
Below 60%,Total,Romania,2017,36.7,Total,Age in completed years,177435.0,Total,Total,36.3,9100.0,85.2,Percentage of total population,3.3,281.15999999999997,30030.0,3092.7599999999998
Below 60%,Total,Romania,2018,37.4,Total,Age in completed years,172578.0,Total,Total,33.3,9650.0,83.1,Percentage of total population,2.9,240.98999999999998,27985.0,2767.2299999999996
Below 60%,Total,Romania,2019,34.9,Total,Age in completed years,202422.0,Total,Total,29.7,10080.0,82.7,Percentage of total population,2.7,223.29000000000002,27216.0,2456.19
Below 60%,Total,Romania,2020,35.7,Total,Age in completed years,145519.0,Total,Total,24.0,9760.0,82.7,Percentage of total population,3.4,281.18,33184.0,1984.8000000000002
Below 60%,Total,Romania,2023,26.2,Total,Age in completed years,324091.0,Total,Total,28.3,11120.0,81.4,Percentage of total population,3.2,260.48,35584.0,2303.6200000000003
Below 60%,Total,Slovenia,2014,12.5,Total,Age in completed years,13846.0,Total,Total,29.4,18230.0,102.4,Percentage of total population,6.1,624.64,111203.0,3010.56
Below 60%,Total,Slovenia,2015,12.5,Total,Age in completed years,15420.0,Total,Total,27.7,18660.0,102.4,Percentage of total population,5.7,583.6800000000001,106362.0,2836.48
Below 60%,Total,Slovenia,2016,9.6,Total,Age in completed years,16623.0,Total,Total,28.3,19210.0,102.5,Percentage of total population,5.0,512.5,96050.0,2900.75
Below 60%,Total,Slovenia,2017,7.9,Total,Age in completed years,18808.0,Total,Total,26.7,20190.0,102.6,Percentage of total population,4.2,430.92,84798.0,2739.4199999999996
Below 60%,Total,Slovenia,2018,8.6,Total,Age in completed years,28455.0,Total,Total,24.0,21010.0,102.9,Percentage of total population,3.3,339.57,69333.0,2469.6000000000004
Below 60%,Total,Slovenia,2019,7.2,Total,Age in completed years,31319.0,Total,Total,21.9,21570.0,103.7,Percentage of total population,2.9,300.73,62553.0,2271.0299999999997
Below 60%,Total,Slovenia,2020,6.5,Total,Age in completed years,36110.0,Total,Total,23.1,20560.0,103.7,Percentage of total population,3.2,331.84000000000003,65792.0,2395.4700000000003
Below 60%,Total,Slovenia,2023,8.5,Total,Age in completed years,33939.0,Total,Total,20.6,23230.0,105.3,Percentage of total population,2.4,252.71999999999997,55752.0,2169.1800000000003
Below 60%,Total,Slovakia,2014,19.7,Total,Age in completed years,5357.0,Total,Total,36.4,14100.0,110.5,Percentage of total population,8.5,939.25,119850.0,4022.2
Below 60%,Total,Slovakia,2015,15.2,Total,Age in completed years,6997.0,Total,Total,34.5,14820.0,110.6,Percentage of total population,7.5,829.5,111150.0,3815.7
Below 60%,Total,Slovakia,2016,16.0,Total,Age in completed years,7686.0,Total,Total,35.6,15090.0,111.5,Percentage of total population,6.4,713.6,96576.0,3969.4
Below 60%,Total,Slovakia,2017,20.7,Total,Age in completed years,7188.0,Total,Total,38.9,15500.0,111.7,Percentage of total population,5.4,603.1800000000001,83700.0,4345.13
Below 60%,Total,Slovakia,2018,14.3,Total,Age in completed years,7253.0,Total,Total,24.4,16110.0,111.8,Percentage of total population,4.3,480.73999999999995,69273.0,2727.9199999999996
Below 60%,Total,Slovakia,2019,14.9,Total,Age in completed years,7016.0,Total,Total,26.8,16450.0,112.0,Percentage of total population,3.8,425.59999999999997,62510.0,3001.6
Below 60%,Total,Slovakia,2020,11.5,Total,Age in completed years,6775.0,Total,Total,22.5,16010.0,112.0,Percentage of total population,4.4,492.80000000000007,70444.0,2520.0
Below 60%,Total,Slovakia,2023,15.2,Total,Age in completed years,5923.0,Total,Total,34.1,17370.0,111.4,Percentage of total population,3.9,434.46000000000004,67743.0,3798.7400000000002
Below 60%,Total,Finland,2014,1.9,Total,Age in completed years,31507.0,Total,Total,21.2,38300.0,18.0,Percentage of total population,5.7,102.60000000000001,218310.0,381.59999999999997
Below 60%,Total,Finland,2015,2.0,Total,Age in completed years,28746.0,Total,Total,20.4,38350.0,18.0,Percentage of total population,6.1,109.8,233935.0,367.2
Below 60%,Total,Finland,2016,3.2,Total,Age in completed years,34905.0,Total,Total,19.5,39230.0,18.1,Percentage of total population,5.8,104.98,227534.0,352.95000000000005
Below 60%,Total,Finland,2017,2.4,Total,Age in completed years,31797.0,Total,Total,18.2,40430.0,18.1,Percentage of total population,5.7,103.17000000000002,230451.0,329.42
Below 60%,Total,Finland,2018,2.3,Total,Age in completed years,31106.0,Total,Total,18.1,40860.0,18.1,Percentage of total population,4.9,88.69000000000001,200214.0,327.61000000000007
Below 60%,Total,Finland,2019,1.6,Total,Age in completed years,32758.0,Total,Total,18.2,41370.0,18.2,Percentage of total population,4.5,81.89999999999999,186165.0,331.23999999999995
Below 60%,Total,Finland,2020,3.2,Total,Age in completed years,32898.0,Total,Total,17.4,40270.0,18.1,Percentage of total population,5.1,92.31,205377.0,314.94
Below 60%,Total,Finland,2023,3.1,Total,Age in completed years,73236.0,Total,Total,22.4,40780.0,18.4,Percentage of total population,5.0,92.0,203900.0,412.15999999999997
Below 60%,Total,Sweden,2014,6.9,Total,Age in completed years,126966.0,Total,Total,42.3,44690.0,23.8,Percentage of total population,5.8,138.04,259202.0,1006.74
Below 60%,Total,Sweden,2015,7.9,Total,Age in completed years,134240.0,Total,Total,39.9,46160.0,24.1,Percentage of total population,5.4,130.14000000000001,249264.00000000003,961.59
Below 60%,Total,Sweden,2016,6.8,Total,Age in completed years,163005.0,Total,Total,38.7,46590.0,24.4,Percentage of total population,5.1,124.43999999999998,237608.99999999997,944.28
Below 60%,Total,Sweden,2017,7.4,Total,Age in completed years,144489.0,Total,Total,38.8,46800.0,24.7,Percentage of total population,4.9,121.03,229320.00000000003,958.3599999999999
Below 60%,Total,Sweden,2018,8.4,Total,Age in completed years,132602.0,Total,Total,37.0,47080.0,25.0,Percentage of total population,4.7,117.5,221276.0,925.0
Below 60%,Total,Sweden,2019,8.1,Total,Age in completed years,115805.0,Total,Total,41.2,47790.0,25.2,Percentage of total population,5.0,126.0,238950.0,1038.24
Below 60%,Total,Sweden,2020,5.4,Total,Age in completed years,82518.0,Total,Total,38.1,46550.0,25.2,Percentage of total population,6.2,156.24,288610.0,960.12
Below 60%,Total,Sweden,2023,6.4,Total,Age in completed years,94514.0,Total,Total,47.4,48350.0,25.9,Percentage of total population,5.8,150.22,280430.0,1227.6599999999999
Above 60%,Total,Belgium,2014,0.3,Total,Age in completed years,123158.0,Total,Total,4.5,36530.0,369.6,Percentage of total population,5.2,1921.92,189956.0,1663.2
Above 60%,Total,Belgium,2015,0.3,Total,Age in completed years,146626.0,Total,Total,4.5,36860.0,371.8,Percentage of total population,5.2,1933.3600000000001,191672.0,1673.1000000000001
Above 60%,Total,Belgium,2016,0.9,Total,Age in completed years,123702.0,Total,Total,4.5,37110.0,373.7,Percentage of total population,4.7,1756.39,174417.0,1681.6499999999999
Above 60%,Total,Belgium,2017,1.2,Total,Age in completed years,126703.0,Total,Total,4.5,37510.0,373.6,Percentage of total population,4.3,1606.48,161293.0,1681.2
Above 60%,Total,Belgium,2018,1.0,Total,Age in completed years,137860.0,Total,Total,3.5,38040.0,375.3,Percentage of total population,3.6,1351.0800000000002,136944.0,1313.55
Above 60%,Total,Belgium,2019,1.3,Total,Age in completed years,150006.0,Total,Total,4.1,38760.0,377.3,Percentage of total population,3.3,1245.09,127908.0,1546.9299999999998
Above 60%,Total,Belgium,2020,1.7,Total,Age in completed years,118683.0,Total,Total,3.5,36740.0,377.3,Percentage of total population,3.4,1282.82,124916.0,1320.55
Above 60%,Total,Belgium,2023,1.1,Total,Age in completed years,169609.0,Total,Total,4.1,40400.0,386.8,Percentage of total population,3.4,1315.12,137360.0,1585.8799999999999
Above 60%,Total,Bulgaria,2014,6.9,Total,Age in completed years,26615.0,Total,Total,5.2,6260.0,66.3,Percentage of total population,7.4,490.62,46324.0,344.76
Above 60%,Total,Bulgaria,2015,6.9,Total,Age in completed years,25223.0,Total,Total,6.4,6560.0,66.2,Percentage of total population,6.1,403.82,40016.0,423.68000000000006
Above 60%,Total,Bulgaria,2016,6.3,Total,Age in completed years,21241.0,Total,Total,10.4,6840.0,64.8,Percentage of total population,5.1,330.47999999999996,34884.0,673.92
Above 60%,Total,Bulgaria,2017,5.5,Total,Age in completed years,25597.0,Total,Total,9.4,7130.0,64.3,Percentage of total population,4.4,282.92,31372.000000000004,604.42
Above 60%,Total,Bulgaria,2018,5.6,Total,Age in completed years,29559.0,Total,Total,8.7,7390.0,63.9,Percentage of total population,3.8,242.82,28082.0,555.93
Above 60%,Total,Bulgaria,2019,4.8,Total,Age in completed years,37929.0,Total,Total,6.6,7780.0,63.4,Percentage of total population,3.3,209.21999999999997,25674.0,418.43999999999994
Above 60%,Total,Bulgaria,2020,4.7,Total,Age in completed years,37364.0,Total,Total,5.9,7610.0,63.4,Percentage of total population,3.7,234.58,28157.0,374.06
Above 60%,Total,Bulgaria,2023,3.5,Total,Age in completed years,56807.0,Total,Total,3.8,8830.0,58.6,Percentage of total population,2.7,158.22000000000003,23841.0,222.68
Above 60%,Total,Czechia,2014,2.5,Total,Age in completed years,29897.0,Total,Total,6.9,15470.0,136.3,Percentage of total population,3.9,531.57,60333.0,940.4700000000001
Above 60%,Total,Czechia,2015,2.5,Total,Age in completed years,29602.0,Total,Total,6.3,16230.0,136.6,Percentage of total population,3.3,450.78,53559.0,860.5799999999999
Above 60%,Total,Czechia,2016,2.3,Total,Age in completed years,64083.0,Total,Total,5.7,16640.0,136.8,Percentage of total population,2.6,355.68000000000006,43264.0,779.7600000000001
Above 60%,Total,Czechia,2017,1.9,Total,Age in completed years,51847.0,Total,Total,5.1,17490.0,137.2,Percentage of total population,1.9,260.67999999999995,33231.0,699.7199999999999
Above 60%,Total,Czechia,2018,2.0,Total,Age in completed years,65910.0,Total,Total,4.2,17960.0,137.7,Percentage of total population,1.5,206.54999999999998,26940.0,578.34
Above 60%,Total,Czechia,2019,1.3,Total,Age in completed years,105888.0,Total,Total,3.4,18570.0,138.2,Percentage of total population,1.3,179.66,24141.0,469.87999999999994
Above 60%,Total,Czechia,2020,1.7,Total,Age in completed years,63095.0,Total,Total,3.1,17670.0,138.2,Percentage of total population,1.7,234.93999999999997,30039.0,428.41999999999996
Above 60%,Total,Czechia,2023,1.7,Total,Age in completed years,142149.0,Total,Total,5.0,18260.0,140.7,Percentage of total population,1.7,239.18999999999997,31042.0,703.5
Above 60%,Total,Denmark,2014,1.7,Total,Age in completed years,68388.0,Total,Total,8.5,47240.0,131.5,Percentage of total population,4.7,618.0500000000001,222028.0,1117.75
Above 60%,Total,Denmark,2015,1.7,Total,Age in completed years,78492.0,Total,Total,7.9,47900.0,132.4,Percentage of total population,4.2,556.08,201180.0,1045.96
Above 60%,Total,Denmark,2016,1.3,Total,Age in completed years,74383.0,Total,Total,7.1,48970.0,136.4,Percentage of total population,4.1,559.24,200776.99999999997,968.4399999999999
Above 60%,Total,Denmark,2017,1.8,Total,Age in completed years,68579.0,Total,Total,7.4,50150.0,137.3,Percentage of total population,4.0,549.2,200600.0,1016.0200000000001
Above 60%,Total,Denmark,2018,1.9,Total,Age in completed years,64669.0,Total,Total,6.8,50830.0,138.0,Percentage of total population,3.5,483.0,177905.0,938.4
Above 60%,Total,Denmark,2019,1.6,Total,Age in completed years,61384.0,Total,Total,7.2,51500.0,138.5,Percentage of total population,3.5,484.75,180250.0,997.2
Above 60%,Total,Denmark,2020,1.6,Total,Age in completed years,57230.0,Total,Total,6.5,50470.0,138.5,Percentage of total population,3.9,540.15,196833.0,900.25
Above 60%,Total,Denmark,2023,1.4,Total,Age in completed years,98344.0,Total,Total,7.8,53230.0,141.6,Percentage of total population,3.7,523.92,196951.0,1104.48
Above 60%,Total,Germany,2014,1.0,Total,Age in completed years,898840.0,Total,Total,8.3,37600.0,226.5,Percentage of total population,3.2,724.8000000000001,120320.0,1879.9500000000003
Above 60%,Total,Germany,2015,1.1,Total,Age in completed years,1595865.0,Total,Total,8.4,37950.0,228.4,Percentage of total population,2.9,662.36,110055.0,1918.5600000000002
Above 60%,Total,Germany,2016,1.1,Total,Age in completed years,1042484.0,Total,Total,9.1,38550.0,233.1,Percentage of total population,2.6,606.0600000000001,100230.0,2121.21
Above 60%,Total,Germany,2017,1.1,Total,Age in completed years,900291.0,Total,Total,7.9,39540.0,234.0,Percentage of total population,2.4,561.6,94896.0,1848.6000000000001
Above 60%,Total,Germany,2018,1.6,Total,Age in completed years,855708.0,Total,Total,7.5,39930.0,234.7,Percentage of total population,2.2,516.34,87846.0,1760.25
Above 60%,Total,Germany,2019,1.4,Total,Age in completed years,834338.0,Total,Total,8.0,40300.0,235.2,Percentage of total population,2.0,470.4,80600.0,1881.6
Above 60%,Total,Germany,2020,0.9,Total,Age in completed years,666639.0,Total,Total,3.3,38670.0,235.2,Percentage of total population,2.5,588.0,96675.0,776.16
Above 60%,Total,Germany,2023,1.5,Total,Age in completed years,1303251.0,Total,Total,7.9,39990.0,235.8,Percentage of total population,2.2,518.7600000000001,87978.0,1862.8200000000002
Above 60%,Total,Estonia,2014,3.1,Total,Age in completed years,3904.0,Total,Total,2.0,15680.0,30.3,Percentage of total population,5.0,151.5,78400.0,60.6
Above 60%,Total,Estonia,2015,2.3,Total,Age in completed years,15413.0,Total,Total,1.6,16000.0,30.3,Percentage of total population,4.5,136.35,72000.0,48.480000000000004
Above 60%,Total,Estonia,2016,3.0,Total,Age in completed years,14822.0,Total,Total,0.9,16460.0,30.3,Percentage of total population,4.9,148.47000000000003,80654.0,27.27
Above 60%,Total,Estonia,2017,3.1,Total,Age in completed years,17616.0,Total,Total,1.1,17390.0,30.3,Percentage of total population,4.2,127.26,73038.0,33.330000000000005
Above 60%,Total,Estonia,2018,2.9,Total,Age in completed years,17547.0,Total,Total,0.6,17990.0,30.4,Percentage of total population,3.9,118.55999999999999,70161.0,18.24
Above 60%,Total,Estonia,2019,2.2,Total,Age in completed years,18259.0,Total,Total,1.2,18580.0,30.5,Percentage of total population,3.2,97.60000000000001,59456.0,36.6
Above 60%,Total,Estonia,2020,1.7,Total,Age in completed years,16209.0,Total,Total,1.1,17990.0,30.5,Percentage of total population,5.0,152.5,89950.0,33.550000000000004
Above 60%,Total,Estonia,2023,2.4,Total,Age in completed years,26399.0,Total,Total,1.8,18200.0,31.8,Percentage of total population,4.7,149.46,85540.0,57.24
Above 60%,Total,Ireland,2014,1.0,Total,Age in completed years,73519.0,Total,Total,2.3,46960.0,67.8,Percentage of total population,7.8,528.8399999999999,366288.0,155.93999999999997
Above 60%,Total,Ireland,2015,1.0,Total,Age in completed years,80792.0,Total,Total,2.1,57980.0,68.5,Percentage of total population,6.6,452.09999999999997,382668.0,143.85
Above 60%,Total,Ireland,2016,0.6,Total,Age in completed years,93378.0,Total,Total,1.7,57990.0,69.3,Percentage of total population,5.6,388.08,324744.0,117.80999999999999
Above 60%,Total,Ireland,2017,0.5,Total,Age in completed years,84743.0,Total,Total,1.7,62950.0,70.0,Percentage of total population,4.5,315.0,283275.0,119.0
Above 60%,Total,Ireland,2018,0.7,Total,Age in completed years,105699.0,Total,Total,1.5,66830.0,70.9,Percentage of total population,3.9,276.51,260637.0,106.35000000000001
Above 60%,Total,Ireland,2019,0.7,Total,Age in completed years,96321.0,Total,Total,2.5,69060.0,71.9,Percentage of total population,3.3,237.27,227898.0,179.75
Above 60%,Total,Ireland,2020,0.8,Total,Age in completed years,81918.0,Total,Total,2.2,73020.0,71.9,Percentage of total population,3.8,273.22,277476.0,158.18000000000004
Above 60%,Total,Greece,2014,4.4,Total,Age in completed years,59013.0,Total,Total,31.2,16140.0,82.5,Percentage of total population,15.7,1295.25,253398.0,2574.0
Above 60%,Total,Greece,2015,5.2,Total,Age in completed years,64446.0,Total,Total,32.3,16210.0,82.7,Percentage of total population,14.8,1223.96,239908.0,2671.21
Above 60%,Total,Greece,2016,4.8,Total,Age in completed years,116867.0,Total,Total,26.7,16270.0,82.4,Percentage of total population,14.2,1170.08,231034.0,2200.08
Above 60%,Total,Greece,2017,4.5,Total,Age in completed years,112247.0,Total,Total,26.8,16540.0,82.2,Percentage of total population,13.0,1068.6000000000001,215020.0,2202.96
Above 60%,Total,Greece,2018,4.5,Total,Age in completed years,119489.0,Total,Total,27.8,16920.0,82.5,Percentage of total population,11.7,965.2499999999999,197964.0,2293.5
Above 60%,Total,Greece,2019,4.7,Total,Age in completed years,129459.0,Total,Total,24.8,17320.0,82.4,Percentage of total population,10.7,881.68,185324.0,2043.5200000000002
Above 60%,Total,Greece,2020,4.1,Total,Age in completed years,84221.0,Total,Total,22.5,15760.0,82.4,Percentage of total population,10.0,824.0,157600.0,1854.0000000000002
Above 60%,Total,Greece,2023,5.0,Total,Age in completed years,116591.0,Total,Total,15.1,18720.0,80.0,Percentage of total population,6.7,536.0,125424.0,1208.0
Above 60%,Total,Spain,2014,0.7,Total,Age in completed years,305454.0,Total,Total,2.7,22500.0,92.5,Percentage of total population,16.0,1480.0,360000.0,249.75000000000003
Above 60%,Total,Spain,2015,1.0,Total,Age in completed years,342114.0,Total,Total,2.5,23440.0,92.5,Percentage of total population,14.5,1341.25,339880.0,231.25
Above 60%,Total,Spain,2016,0.8,Total,Age in completed years,414746.0,Total,Total,2.6,24100.0,92.5,Percentage of total population,12.8,1184.0,308480.0,240.5
Above 60%,Total,Spain,2017,0.6,Total,Age in completed years,532132.0,Total,Total,2.5,24750.0,92.7,Percentage of total population,11.2,1038.24,277200.0,231.75
Above 60%,Total,Spain,2018,0.6,Total,Age in completed years,643684.0,Total,Total,2.3,25230.0,93.1,Percentage of total population,9.9,921.6899999999999,249777.0,214.12999999999997
Above 60%,Total,Spain,2019,0.9,Total,Age in completed years,750480.0,Total,Total,2.5,25520.0,93.8,Percentage of total population,9.1,853.5799999999999,232232.0,234.5
Above 60%,Total,Spain,2020,1.9,Total,Age in completed years,467918.0,Total,Total,2.2,22610.0,93.8,Percentage of total population,9.9,928.62,223839.0,206.36
Above 60%,Total,Spain,2023,1.9,Total,Age in completed years,1250991.0,Total,Total,2.3,25740.0,96.2,Percentage of total population,8.0,769.6,205920.0,221.26
Above 60%,Total,France,2014,1.4,Total,Age in completed years,340383.0,Total,Total,2.7,32990.0,104.6,Percentage of total population,6.5,679.9,214435.0,282.42
