freq,unit,rskpovth,age,sex,geo,time,value
Annual,Percentage,Total,Total,Total,Belgium,2006,9.8
Annual,Percentage,Total,Total,Total,Belgium,2007,10.1
Annual,Percentage,Total,Total,Total,Belgium,2008,12.5
Annual,Percentage,Total,Total,Total,Belgium,2009,8.7
Annual,Percentage,Total,Total,Total,Belgium,2010,8.9
Annual,Percentage,Total,Total,Total,Belgium,2011,10.6
Annual,Percentage,Total,Total,Total,Belgium,2012,11.0
Annual,Percentage,Total,Total,Total,Belgium,2013,9.6
Annual,Percentage,Total,Total,Total,Belgium,2014,10.4
Annual,Percentage,Total,Total,Total,Belgium,2015,9.4
Annual,Percentage,Total,Total,Total,Belgium,2016,9.8
Annual,Percentage,Total,Total,Total,Belgium,2017,9.4
Annual,Percentage,Total,Total,Total,Belgium,2018,8.9
Annual,Percentage,Total,Total,Total,Belgium,2019,8.4
Annual,Percentage,Total,Total,Total,Belgium,2020,7.7
Annual,Percentage,Total,Total,Total,Belgium,2021,7.6
Annual,Percentage,Total,Total,Total,Belgium,2022,7.5
Annual,Percentage,Total,Total,Total,Belgium,2023,7.8
Annual,Percentage,Total,Total,Total,Belgium,2024,6.7
Annual,Percentage,Total,Total,Total,Belgium,2025,6.7
Annual,Percentage,Total,Total,Total,Bulgaria,2003,
Annual,Percentage,Total,Total,Total,Bulgaria,2004,
Annual,Percentage,Total,Total,Total,Bulgaria,2005,
Annual,Percentage,Total,Total,Total,Bulgaria,2006,15.4
Annual,Percentage,Total,Total,Total,Bulgaria,2007,21.2
Annual,Percentage,Total,Total,Total,Bulgaria,2008,13.3
Annual,Percentage,Total,Total,Total,Bulgaria,2009,7.0
Annual,Percentage,Total,Total,Total,Bulgaria,2010,5.9
Annual,Percentage,Total,Total,Total,Bulgaria,2011,8.7
Annual,Percentage,Total,Total,Total,Bulgaria,2012,14.5
Annual,Percentage,Total,Total,Total,Bulgaria,2013,14.3
Annual,Percentage,Total,Total,Total,Bulgaria,2014,12.9
Annual,Percentage,Total,Total,Total,Bulgaria,2015,14.8
Annual,Percentage,Total,Total,Total,Bulgaria,2016,20.7
Annual,Percentage,Total,Total,Total,Bulgaria,2017,18.9
Annual,Percentage,Total,Total,Total,Bulgaria,2018,17.9
Annual,Percentage,Total,Total,Total,Bulgaria,2019,16.0
Annual,Percentage,Total,Total,Total,Bulgaria,2020,14.4
Annual,Percentage,Total,Total,Total,Bulgaria,2021,11.6
Annual,Percentage,Total,Total,Total,Bulgaria,2022,15.1
Annual,Percentage,Total,Total,Total,Bulgaria,2023,11.1
Annual,Percentage,Total,Total,Total,Bulgaria,2024,8.0
Annual,Percentage,Total,Total,Total,Bulgaria,2025,6.9
Annual,Percentage,Total,Total,Total,Czechia,2003,
Annual,Percentage,Total,Total,Total,Czechia,2004,
Annual,Percentage,Total,Total,Total,Czechia,2005,10.0
Annual,Percentage,Total,Total,Total,Czechia,2006,10.8
Annual,Percentage,Total,Total,Total,Czechia,2007,10.3
Annual,Percentage,Total,Total,Total,Czechia,2008,12.8
Annual,Percentage,Total,Total,Total,Czechia,2009,8.9
Annual,Percentage,Total,Total,Total,Czechia,2010,9.7
Annual,Percentage,Total,Total,Total,Czechia,2011,9.5
Annual,Percentage,Total,Total,Total,Czechia,2012,10.0
Annual,Percentage,Total,Total,Total,Czechia,2013,11.7
Annual,Percentage,Total,Total,Total,Czechia,2014,10.5
Annual,Percentage,Total,Total,Total,Czechia,2015,10.4
Annual,Percentage,Total,Total,Total,Czechia,2016,9.5
Annual,Percentage,Total,Total,Total,Czechia,2017,8.7
Annual,Percentage,Total,Total,Total,Czechia,2018,7.8
Annual,Percentage,Total,Total,Total,Czechia,2019,6.9
Annual,Percentage,Total,Total,Total,Czechia,2020,6.5
Annual,Percentage,Total,Total,Total,Czechia,2021,6.2
Annual,Percentage,Total,Total,Total,Czechia,2022,6.9
Annual,Percentage,Total,Total,Total,Czechia,2023,9.1
Annual,Percentage,Total,Total,Total,Czechia,2024,9.2
Annual,Percentage,Total,Total,Total,Czechia,2025,8.2
Annual,Percentage,Total,Total,Total,Denmark,2003,
Annual,Percentage,Total,Total,Total,Denmark,2004,
Annual,Percentage,Total,Total,Total,Denmark,2005,13.6
Annual,Percentage,Total,Total,Total,Denmark,2006,16.1
Annual,Percentage,Total,Total,Total,Denmark,2007,13.4
Annual,Percentage,Total,Total,Total,Denmark,2008,17.1
Annual,Percentage,Total,Total,Total,Denmark,2009,24.2
Annual,Percentage,Total,Total,Total,Denmark,2010,21.9
Annual,Percentage,Total,Total,Total,Denmark,2011,18.5
Annual,Percentage,Total,Total,Total,Denmark,2012,16.7
Annual,Percentage,Total,Total,Total,Denmark,2013,17.9
Annual,Percentage,Total,Total,Total,Denmark,2014,15.6
Annual,Percentage,Total,Total,Total,Denmark,2015,15.1
Annual,Percentage,Total,Total,Total,Denmark,2016,15.1
Annual,Percentage,Total,Total,Total,Denmark,2017,15.7
Annual,Percentage,Total,Total,Total,Denmark,2018,14.7
Annual,Percentage,Total,Total,Total,Denmark,2019,15.6
Annual,Percentage,Total,Total,Total,Denmark,2020,14.1
Annual,Percentage,Total,Total,Total,Denmark,2021,15.5
Annual,Percentage,Total,Total,Total,Denmark,2022,14.7
Annual,Percentage,Total,Total,Total,Denmark,2023,15.4
Annual,Percentage,Total,Total,Total,Denmark,2024,14.6
Annual,Percentage,Total,Total,Total,Denmark,2025,23.4
Annual,Percentage,Total,Total,Total,Germany,2003,
Annual,Percentage,Total,Total,Total,Germany,2004,
Annual,Percentage,Total,Total,Total,Germany,2005,
Annual,Percentage,Total,Total,Total,Germany,2006,
Annual,Percentage,Total,Total,Total,Germany,2007,
Annual,Percentage,Total,Total,Total,Germany,2008,
Annual,Percentage,Total,Total,Total,Germany,2009,
Annual,Percentage,Total,Total,Total,Germany,2010,14.5
Annual,Percentage,Total,Total,Total,Germany,2011,16.1
Annual,Percentage,Total,Total,Total,Germany,2012,16.6
