rskpovth,age,sex,geo,year,overburden_rate
Total,Total,Total,France,2022,6.5
Total,Total,Total,France,2023,6.5
Total,Total,Total,France,2024,7.0
Total,Total,Total,France,2025,6.4
Total,Total,Total,Croatia,2010,14.1
Total,Total,Total,Croatia,2011,8.0
Total,Total,Total,Croatia,2012,6.8
Total,Total,Total,Croatia,2013,8.4
Total,Total,Total,Croatia,2014,7.5
Total,Total,Total,Croatia,2015,7.2
Total,Total,Total,Croatia,2016,6.4
Total,Total,Total,Croatia,2017,5.8
Total,Total,Total,Croatia,2018,5.1
Total,Total,Total,Croatia,2019,4.7
Total,Total,Total,Croatia,2020,4.2
Total,Total,Total,Croatia,2021,4.5
Total,Total,Total,Croatia,2022,3.8
Total,Total,Total,Croatia,2023,4.0
Total,Total,Total,Croatia,2024,3.7
Total,Total,Total,Croatia,2025,3.2
Total,Total,Total,Italy,2004,12.2
Total,Total,Total,Italy,2005,12.6
Total,Total,Total,Italy,2006,12.2
Total,Total,Total,Italy,2007,7.5
Total,Total,Total,Italy,2008,8.3
Total,Total,Total,Italy,2009,7.8
Total,Total,Total,Italy,2010,7.7
Total,Total,Total,Italy,2011,8.7
Total,Total,Total,Italy,2012,8.1
Total,Total,Total,Italy,2013,8.9
Total,Total,Total,Italy,2014,8.5
Total,Total,Total,Italy,2015,8.6
Total,Total,Total,Italy,2016,9.6
Total,Total,Total,Italy,2017,8.2
Total,Total,Total,Italy,2018,8.2
Total,Total,Total,Italy,2019,8.7
Total,Total,Total,Italy,2020,7.2
Total,Total,Total,Italy,2021,7.2
Total,Total,Total,Italy,2022,6.6
Total,Total,Total,Italy,2023,5.7
Total,Total,Total,Italy,2024,5.1
Total,Total,Total,Italy,2025,5.0
Total,Total,Total,Cyprus,2005,6.6
Total,Total,Total,Cyprus,2006,3.0
Total,Total,Total,Cyprus,2007,1.7
Total,Total,Total,Cyprus,2008,1.8
Total,Total,Total,Cyprus,2009,2.4
Total,Total,Total,Cyprus,2010,3.1
Total,Total,Total,Cyprus,2011,3.1
Total,Total,Total,Cyprus,2012,3.3
Total,Total,Total,Cyprus,2013,3.3
Total,Total,Total,Cyprus,2014,4.0
Total,Total,Total,Cyprus,2015,3.9
Total,Total,Total,Cyprus,2016,3.1
Total,Total,Total,Cyprus,2017,2.8
Total,Total,Total,Cyprus,2018,2.0
Total,Total,Total,Cyprus,2019,2.2
Total,Total,Total,Cyprus,2020,1.9
Total,Total,Total,Cyprus,2021,2.4
Total,Total,Total,Cyprus,2022,2.6
Total,Total,Total,Cyprus,2023,2.6
Total,Total,Total,Cyprus,2024,2.4
Total,Total,Total,Cyprus,2025,2.4
Total,Total,Total,Latvia,2005,12.8
Total,Total,Total,Latvia,2006,10.6
Total,Total,Total,Latvia,2007,9.9
Total,Total,Total,Latvia,2008,8.7
Total,Total,Total,Latvia,2009,9.3
Total,Total,Total,Latvia,2010,9.8
Total,Total,Total,Latvia,2011,12.5
Total,Total,Total,Latvia,2012,11.2
Total,Total,Total,Latvia,2013,11.4
Total,Total,Total,Latvia,2014,9.6
Total,Total,Total,Latvia,2015,8.1
Total,Total,Total,Latvia,2016,7.0
Total,Total,Total,Latvia,2017,6.9
Total,Total,Total,Latvia,2018,6.7
Total,Total,Total,Latvia,2019,5.4
Total,Total,Total,Latvia,2020,4.8
Total,Total,Total,Latvia,2021,4.9
Total,Total,Total,Latvia,2022,5.4
Total,Total,Total,Latvia,2023,7.2
Total,Total,Total,Latvia,2024,6.7
Total,Total,Total,Latvia,2025,5.7
Total,Total,Total,Lithuania,2005,9.0
Total,Total,Total,Lithuania,2006,6.9
Total,Total,Total,Lithuania,2007,4.8
Total,Total,Total,Lithuania,2008,5.0
Total,Total,Total,Lithuania,2009,5.6
Total,Total,Total,Lithuania,2010,10.6
Total,Total,Total,Lithuania,2011,11.1
Total,Total,Total,Lithuania,2012,8.9
Total,Total,Total,Lithuania,2013,8.2
Total,Total,Total,Lithuania,2014,7.1
Total,Total,Total,Lithuania,2015,9.1
Total,Total,Total,Lithuania,2016,7.8
Total,Total,Total,Lithuania,2017,7.2
Total,Total,Total,Lithuania,2018,5.6
Total,Total,Total,Lithuania,2019,4.8
Total,Total,Total,Lithuania,2020,2.7
Total,Total,Total,Lithuania,2021,2.7
Total,Total,Total,Lithuania,2022,3.5
Total,Total,Total,Lithuania,2023,5.2
Total,Total,Total,Lithuania,2024,6.2
Total,Total,Total,Lithuania,2025,5.7
Total,Total,Total,Luxembourg,2003,3.6
Total,Total,Total,Luxembourg,2004,4.5
Total,Total,Total,Luxembourg,2005,3.8
Total,Total,Total,Luxembourg,2006,4.8
Total,Total,Total,Luxembourg,2007,3.9
Total,Total,Total,Luxembourg,2008,3.7
Total,Total,Total,Luxembourg,2009,3.7
Total,Total,Total,Luxembourg,2010,4.7
Total,Total,Total,Luxembourg,2011,4.2
Total,Total,Total,Luxembourg,2012,4.9
Total,Total,Total,Luxembourg,2013,5.6
Total,Total,Total,Luxembourg,2014,6.8
Total,Total,Total,Luxembourg,2015,6.0
Total,Total,Total,Luxembourg,2016,7.0
Total,Total,Total,Luxembourg,2017,7.1
Total,Total,Total,Luxembourg,2018,9.3
Total,Total,Total,Luxembourg,2019,10.1
Total,Total,Total,Luxembourg,2020,8.5
Total,Total,Total,Luxembourg,2021,5.1
Total,Total,Total,Luxembourg,2022,9.0
Total,Total,Total,Luxembourg,2023,11.5
Total,Total,Total,Luxembourg,2024,8.0
Total,Total,Total,Luxembourg,2025,8.1
Total,Total,Total,Hungary,2005,18.1
Total,Total,Total,Hungary,2006,12.3
Total,Total,Total,Hungary,2007,10.9
Total,Total,Total,Hungary,2008,11.6
Total,Total,Total,Hungary,2009,8.9
Total,Total,Total,Hungary,2010,11.3
Total,Total,Total,Hungary,2011,13.0
Total,Total,Total,Hungary,2012,14.7
Total,Total,Total,Hungary,2013,14.3
Total,Total,Total,Hungary,2014,12.8
Total,Total,Total,Hungary,2015,8.5
Total,Total,Total,Hungary,2016,8.8
Total,Total,Total,Hungary,2017,10.7
Total,Total,Total,Hungary,2018,9.6
Total,Total,Total,Hungary,2019,3.9
Total,Total,Total,Hungary,2020,3.7
Total,Total,Total,Hungary,2021,2.7
Total,Total,Total,Hungary,2022,8.1
Total,Total,Total,Hungary,2023,7.3
Total,Total,Total,Hungary,2024,9.0
Total,Total,Total,Hungary,2025,5.3
Total,Total,Total,Malta,2005,1.7
Total,Total,Total,Malta,2006,1.8
Total,Total,Total,Malta,2007,2.5
Total,Total,Total,Malta,2008,3.3
Total,Total,Total,Malta,2009,2.8
Total,Total,Total,Malta,2010,3.7
Total,Total,Total,Malta,2011,3.0
Total,Total,Total,Malta,2012,2.6
Total,Total,Total,Malta,2013,2.5
Total,Total,Total,Malta,2014,1.6
Total,Total,Total,Malta,2015,1.1
Total,Total,Total,Malta,2016,1.4
Total,Total,Total,Malta,2017,1.4
Total,Total,Total,Malta,2018,1.7
Total,Total,Total,Malta,2019,2.6
Total,Total,Total,Malta,2020,2.8
Total,Total,Total,Malta,2021,2.7
Total,Total,Total,Malta,2022,2.9
Total,Total,Total,Malta,2023,6.0
Total,Total,Total,Malta,2024,5.9
Total,Total,Total,Malta,2025,6.0
Total,Total,Total,Netherlands,2005,20.2
Total,Total,Total,Netherlands,2006,19.7
Total,Total,Total,Netherlands,2007,18.3
Total,Total,Total,Netherlands,2008,13.7
Total,Total,Total,Netherlands,2009,13.1
Total,Total,Total,Netherlands,2010,14.0
Total,Total,Total,Netherlands,2011,14.5
Total,Total,Total,Netherlands,2012,14.4
Total,Total,Total,Netherlands,2013,15.7
Total,Total,Total,Netherlands,2014,15.4
Total,Total,Total,Netherlands,2015,14.9
Total,Total,Total,Netherlands,2016,10.7
Total,Total,Total,Netherlands,2017,9.4
Total,Total,Total,Netherlands,2018,9.4
Total,Total,Total,Netherlands,2019,9.9
Total,Total,Total,Netherlands,2020,8.3
Total,Total,Total,Netherlands,2021,8.3
Total,Total,Total,Netherlands,2022,10.0
Total,Total,Total,Netherlands,2023,9.3
Total,Total,Total,Netherlands,2024,6.9
Total,Total,Total,Netherlands,2025,6.5
